,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Eddie,Response Rate91%,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/west-new-york/203485-homestay-in-new-jersey-west-new-york
1,Meet Linda,Response Rate100%,NYC Queens Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Dresser / Drawers Bedside Locker / Nightstand Fridge Hair-dryer,https://www.homestay.com//united-states/new-york-queens/238291-homestay-in-queens-new-york-queens
2,Meet Jennifer,Response Rate100%,Cosmopolitan Eco friendly,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/8972-homestay-in-upper-east-side-new-york
3,Meet Chris,Response Rate100%,Urban Cosy,Welcomes Males Females Couples Families Students,TV Internet Access,https://www.homestay.com//united-states/new-york/66293-homestay-in-east-village-new-york
4,Meet Cherylene,Response Rate100%,Beautiful  Cosy,Welcomes Males Females Couples Families Students,Parking TV Internet Access,https://www.homestay.com//united-states/brooklyn/263425-homestay-in-brooklyn-brooklyn
5,Meet Thea,Response Rate100%,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/secaucus/29947-homestay-in-surburbancity-community-secaucus
6,Meet Patrick,Response Rate100%,Suburban Period style,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/queens/243108-homestay-in-bellerose-queens
7,Meet Sonia,Internet Access,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/brooklyn/117353-homestay-in-bushwick-brooklyn
8,Meet Anthony,Response Rate66%,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/brooklyn/29206-homestay-in-residential-brooklyn
9,Meet Slada,Garden,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Parking TV Internet Access Smoke alarm Smoke alarm on each floor Carbon monoxide detector,https://www.homestay.com//united-states/brooklyn/9461-homestay-in-flatlands-brooklyn
10,Meet Sharon,Response Rate100%,Trendy Unusual,Welcomes Males Females Couples Families Students,Garden Parking Internet Access Smoke alarm,https://www.homestay.com//united-states/brooklyn/119358-homestay-in-fort-greene-brooklyn
11,Meet Yolanda,Internet Access,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/new-york/16773-homestay-in-woodhaven-new-york
12,Meet Denise,Response Rate75%,Cosy,Welcomes Males Females Couples Families Students,TV Internet Access Air Conditioning,https://www.homestay.com//united-states/brooklyn-new-york/139422-homestay-in-crown-heights-brooklyn-new-york
13,Meet Lulu,Response Rate100%,Urban Arty,Welcomes Males Females Couples Families Students,Bikes for use Laundry TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/williamsburg-brooklyn/152776-homestay-in-williamsburg-brooklyn-williamsburg-brooklyn
