,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Carmen,Response Rate85%,Urban Rustic,Welcomes Males Females Couples Families Students,Laundry Patio Barbecue TV Internet Access,https://www.homestay.com//united-states/washington-dc/56341-homestay-in-takoma-dc-washington-dc
1,Meet PAT,Garden,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Barbecue TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/washington/174471-homestay-in-american-university-park-washington
2,Meet Mary,Response Rate100%,Urban Stylish,Welcomes Males Females Couples Families Students,Desk and Lamp Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Fridge,https://www.homestay.com//united-states/falls-church/24191-homestay-in-falls-church-falls-church
3,Meet Sri,Response Rate100%,Urban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/rockville/239790-homestay-in-montgomery-county-rockville
4,Meet Titik,Response Rate100%,Suburban Shabby chic,Welcomes Males Females Couples Families Students,Garden Games Room Laundry Patio Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/rockville/55238-homestay-in-rockville-rockville
5,Meet Katarzyna,Garden,Cosmopolitan Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/falls-church/191931-homestay-in-falls-church-city-falls-church
6,Meet Heidi,Response Rate100%,Suburban Stylish,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/mc-lean/144928-homestay-in-mclean-mclean
7,Meet Eric,Response Rate100%,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Laundry Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/laurel/254820-homestay-in-urban-laurel
8,Meet Dolores,Garden,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Garden Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/silver-spring/240329-homestay-in-kensington-silver-spring
9,Meet nayel,Response Rate50%,Suburban Cosy,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/washington/159982-homestay-in-shaw-haward-washington
10,Meet Kay,Response Rate100%,Suburban Spacious,Welcomes Males Females Couples Families Students,Laundry Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/laurel/150723-homestay-in-main-street-laurel
11,Meet Nathaniel,Laundry,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/clinton/232325-homestay-in-clinton-clinton
12,Meet Marty,Garden,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/springfield/256490-homestay-in-terra-grande-subdivision-springfield
13,Meet Natasha,Garden,Nature Stylish,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/washington/185892-homestay-in-washington-washington
14,Meet Winda,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/rockville/66945-homestay-in-montgomery-county-rockville
15,Meet THOMAS,Swimming Pool,Suburban Cosy,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/college-park/190596-homestay-in-college-park-md-college-park
16,Meet Kha,Laundry,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/hillcrest-heights/259798-homestay-in-suitland-hillcrest-heights
17,Meet Pat,Laundry,Urban Eco friendly,Welcomes Males Females Couples Families Students,Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/washington/265105-homestay-in-columbia-heights-washington
18,Meet Dr. Koura,Garden,Urban Spacious,Welcomes Males Females Couples Families Students,Garden Parking Air Conditioning,https://www.homestay.com//united-states/washington/250257-homestay-in-hillcrest-washington
19,Meet Sauvion,Garden,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/riverdale-park/253839-homestay-in-riverdale-park-dmv-5-min-from-wash-dc-riverdale-park
20,Meet Padma,Garden,Urban Historical,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/washington/265959-homestay-in-georgetown-washington-dc-washington
21,Meet Anzuman,Garden,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/alexandria/40118-homestay-in-alexandria
22,Meet Marlene,Garden,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Patio Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/arlington/215705-homestay-in-arlington-arlington
23,Meet Nahide,Garden,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/falls-church/263431-homestay-in-falls-churchtysonsmerrifieldarlingtondc-falls-church
24,Meet Alexandra & Sergey,Desk and Lamp,Urban Shabby chic,Welcomes Males Females Couples Families Students,Desk and Lamp TV Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Hair-dryer,https://www.homestay.com//united-states/chevy-chase/32071-homestay-in-rockville-chevy-chase
25,Meet Olga,Response Rate25%,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/alexandria/238229-homestay-in-quaker-hill-alexandria
