,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Neil,Response Rate100%,Nature Cosy,Welcomes Males Females Couples Families Students,Laundry Patio Parking Internet Access,https://www.homestay.com//united-states/san-francisco/235810-homestay-in-diamond-heights-glen-park-san-francisco
1,Meet Shula,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Patio Parking TV,https://www.homestay.com//united-states/daly-city/25238-homestay-in-visitacion-valley-daly-city
2,Meet Jane,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Smoke alarm,https://www.homestay.com//united-states/burlingame/153537-homestay-in-quiet-tree-lined-street-burlingame
3,Meet Jennifer,Response Rate100%,Village Modern,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access,https://www.homestay.com//united-states/point-richmond/171098-homestay-in-point-richmond-point-richmond
4,Meet Bernadette,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp TV Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Mirror Hair-dryer Radio,https://www.homestay.com//united-states/san-francisco/137690-homestay-in-inner-sunset-san-francisco
5,Meet Linda,Response Rate100%,Urban Cosy,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers,https://www.homestay.com//united-states/san-francisco/10050-homestay-in-sfsu-san-francisco
6,Meet Marie and Tony,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm on each floor,https://www.homestay.com//united-states/san-francisco/70731-homestay-in-outer-mission-san-francisco
7,Meet YINGYING,Garden,Suburban Amazing views,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/el-sobrante/189733-homestay-in-suburban-el-sobrante
8,Meet Sharon,Garden,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/oakland/183031-homestay-in-lake-merritt-oakland
9,Meet Eithne,Garden,Rural,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access,https://www.homestay.com//united-states/corte-madera/193303-homestay-in-marin-county-corte-madera
10,Meet Vicki,Response Rate100%,Rural Stylish,Welcomes Males Females Couples Families Students,Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/hercules/177476-homestay-in-peaceful-safe-and-quite-hercules
11,Meet Eric,Response Rate100%,Cosmopolitan Modern,Welcomes Males Females Couples Families Students,Garden Computer Games Room Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Smoke alarm on each floor Carbon monoxide detector Air Conditioning,https://www.homestay.com//united-states/daly-city/77318-homestay-in-safe-areaquite-neighborhood-daly-city
12,Meet Ashley,Garden,Beachy Quirky,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/alameda/259381-homestay-in-east-bayoaklandberkeleysan-franciscocentral-alameda-alameda
13,Meet Eileen,Laundry,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access,https://www.homestay.com//united-states/castro-valley/273312-homestay-in-castro-valley-heights-castro-valley
14,Meet Lucrecia,Garden,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/castro-valley/239989-homestay-in-castro-valley-castro-valley
15,Meet Collie,Park,Suburban Stylish,Welcomes Males Females Couples Families Students,Park Bus Stop Hospital,https://www.homestay.com//united-states/vallejo/239321-homestay-in-historic-vallejo
16,Meet Terry,Response Rate100%,Urban Eco friendly,Welcomes Males Females Couples Families Students,Desk and Lamp Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/san-francisco/42008-homestay-in-sherwood-san-francisco
17,Meet Dianne,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access,https://www.homestay.com//united-states/san-francisco/79150-homestay-in-ingleside-terrace-san-francisco
18,Meet Fang,Garden,Rural Cosy,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/fremont/199642-homestay-in-mission-msj-high-school-fremont
19,Meet Emmi,Response Rate100%,Suburban Stylish,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access,https://www.homestay.com//united-states/fremont/240002-homestay-in-centerville-fremont
