,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Crystal,Response Rate80%,Village Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/las-vegas/16613-homestay-in-sunrise-manor-las-vegas
1,Meet Franco,Response Rate100%,Suburban Luxurious,Welcomes Males Females Couples Families Students,Desk and Lamp Wheelchair Accessible Air Conditioning Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Mirror Fridge Hair-dryer,https://www.homestay.com//united-states/las-vegas/75626-homestay-in-north-west-las-vegas
2,Meet Victoria,Response Rate40%,Arty,Welcomes Males Females Couples Families Students,Swimming Pool Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/273180-homestay-in-central-las-vegas
3,Meet Johanna,Response Rate50%,Suburban Cosy,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/260505-homestay-in-las-vegas-las-vegas
4,Meet Sophia,Garden,Urban Stylish,Welcomes Males Females Couples Families Students,Garden Laundry Internet Access,https://www.homestay.com//united-states/north-las-vegas/221153-homestay-in-north-east-not-close-to-mountains-north-las-vegas
5,Meet JeongHwan,Garden,Urban Amazing views,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/las-vegas/251412-homestay-in-summerlin-las-vegas
6,Meet Patricia,Park,Cosmopolitan Stylish,Welcomes Males Females Couples Families Students,Park Shopping Centre Bus Stop Hospital,https://www.homestay.com//united-states/las-vegas/229946-homestay-in-the-lake-las-vegas
7,Meet Minasse,Bikes for use,Suburban Cosy,Welcomes Males Females Couples Families Students,Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/north-las-vegas/259830-homestay-in-suburb-north-las-vegas
8,Meet Aileen,Laundry,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/261258-homestay-in-between-summerlin-and-spring-mountain-las-vegas
9,Meet Lourel,Response Rate75%,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/268891-homestay-in-michael-way-area-las-vegas
10,Meet Vicki,Response Rate87%,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/las-vegas/269032-homestay-in-spring-valley-southwest-part-of-town-las-vegas
