,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Obinna,Response Rate100%,Urban Stylish,Welcomes Males Females Couples Families Students,Air Conditioning Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette,https://www.homestay.com//united-states/philadelphia/84324-homestay-in-belmont-philadelphia
1,Meet Patricia,Response Rate100%,Urban Historical,Welcomes Males Females Couples Families Students,Laundry Patio Internet Access,https://www.homestay.com//united-states/philadelphia/97276-homestay-in-university-city-philadelphia
2,Meet Rebecca,Response Rate80%,Nature Historical,Welcomes Males Females Couples Families Students,Parking TV Air Conditioning,https://www.homestay.com//united-states/philadelphia/166027-homestay-in-close-to-parkslakes-restaurants-hiking-and-biking-areas-etc-philadelphia
3,Meet Carolyn,Internet Access,Urban Modern,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/126035-homestay-in-philadelphia
4,Meet Renae,Response Rate100%,Urban Shabby chic,Welcomes Males Females Couples Families Students,TV Air Conditioning Dresser / Drawers Closet / Wardrobe,https://www.homestay.com//united-states/philadelphia/233289-homestay-in-torresdale-philadelphia
5,Meet Eva,Response Rate80%,Urban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/100525-homestay-in-university-city-west-philly-philadelphia
6,Meet Donna,TV,Urban Spacious,Welcomes Males Females Couples Families Students,TV Air Conditioning Dresser / Drawers Bedside Locker / Nightstand Mirror,https://www.homestay.com//united-states/philadelphia/83927-homestay-in-residential-urban-philadelphia
7,Meet Claudia,Response Rate100%,Suburban Arty,Welcomes Males Females Couples Families Students,Desk and Lamp Dresser / Drawers Closet / Wardrobe Bedside Locker / Nightstand Carpet / Moquette Fridge,https://www.homestay.com//united-states/philadelphia/147447-homestay-in-germantown-philadelphia
8,Meet Nicholas,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Patio Barbecue Parking TV Internet Access Smoke alarm Smoke alarm on each floor Air Conditioning,https://www.homestay.com//united-states/eagleville/8595-homestay-in-lower-providence-eagleville
9,Meet Patricia,Laundry,NaN,Welcomes Males Females Couples Families Students,Laundry Patio Parking TV Internet Access,https://www.homestay.com//united-states/philadelphia/68478-homestay-in-west-germantown-section-philadelphia
10,Meet Keena,Response Rate100%,Suburban Cosy,Welcomes Males Females Couples Families Students,Barbecue Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/pennsauken/71653-homestay-in-merchantville-pennsauken
11,Meet Alexis,Internet Access,Urban Stylish,Welcomes Males Females Couples Families Students,Internet Access Air Conditioning,https://www.homestay.com//united-states/camden/266853-homestay-in-camden-camden
12,Meet Jennifer,Garden,Suburban Period style,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/266609-homestay-in-chestnut-hill-philadelphia
13,Meet Gio,Laundry,Urban Stylish,Welcomes Males Females Couples Families Students,Laundry Barbecue Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/251439-homestay-in-filter-square-philadelphia
14,Meet Linda,Parking,Urban Arty,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/269351-homestay-in-west-mount-airy-philadelphia
15,Meet Julie,Bikes for use,NaN,Welcomes Males Females Couples Families Students,Bikes for use Swimming Pool Laundry Patio Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/93418-homestay-in-fishtown-philadelphia
16,Meet Marc And Elyse,Swimming Pool,NaN,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/upper-gwynedd/88202-homestay-in-upper-gwynedd-pa-upper-gwynedd
17,Meet Jeff,TV,Exotic Historical,Welcomes Males Females Couples Families Students,TV Internet Access Smoke alarm,https://www.homestay.com//united-states/bristol/206736-homestay-in-philadelphia-bristol
18,Meet Kiddy,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Patio Barbecue Parking Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/king-of-prussia/233773-homestay-in-philadelphia-king-of-prussia
19,Meet Brenda,Laundry,Suburban Cosy,Welcomes Males Females Couples Families Students,Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/clementon/237790-homestay-in-quiet-clementon
20,Meet Gerzie,Internet Access,Urban Cosy,Welcomes Males Females Couples Families Students,Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/philadelphia/254337-homestay-in-north-central-philadelphia-philadelphia
21,Meet Grace,Swimming Pool,NaN,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Internet Access Gym at home,https://www.homestay.com//united-states/philadelphia/268641-homestay-in-brewerytown-philadelphia
22,Meet Deborah,Computer,NaN,Welcomes Males Females Couples Families Students,Computer Swimming Pool Laundry Patio Parking TV Air Conditioning,https://www.homestay.com//united-states/philadelphia/66116-homestay-in-city-avenuewynnefield-philadelphia
23,Meet Mary,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Laundry Patio Parking TV Internet Access Smoke alarm,https://www.homestay.com//united-states/bensalem/89396-homestay-in-nottingham-village-bensalem
24,Meet steve,Response Rate100%,NaN,Welcomes Males Females Couples Families Students,Laundry TV Internet Access Air Conditioning,https://www.homestay.com//united-states/upper-darby/200651-homestay-in-bywood69th-street-upper-darby
25,Meet Yamah,Bikes for use,NaN,Welcomes Males Females Couples Families Students,Bikes for use Computer Patio Barbecue Parking TV Internet Access Smoke alarm,https://www.homestay.com//united-states/philadelphia/83677-homestay-in-northwest-philadelphia
26,Meet Irene,Response Rate100%,Urban Arty,Welcomes Males Females Couples Families Students,Garden Laundry Patio Barbecue Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/239101-homestay-in-west-philadelphia-philadelphia
27,Meet Barbara,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Bikes for use Swimming Pool Laundry Patio Barbecue Parking TV Internet Access Air Conditioning,https://www.homestay.com//united-states/broomall/75878-homestay-in-rose-tree-woods-broomall
28,Meet Moresha ,Laundry,NaN,Welcomes Males Females Couples Families Students,Laundry Patio Barbecue Parking TV Air Conditioning,https://www.homestay.com//united-states/philadelphia/68888-homestay-in-spring-arts-northern-liberties-philadelphia
29,Meet Andrea,TV,NaN,Welcomes Males Females Couples Families Students,TV Air Conditioning Closet / Wardrobe Carpet / Moquette Mirror Fridge Radio,https://www.homestay.com//united-states/bristol/67186-homestay-in-family-orient-residential-bristol
30,Meet Nick,Laundry,NaN,Welcomes Males Females Couples Families Students,Laundry Internet Access,https://www.homestay.com//united-states/eagleville/48355-homestay-in-philadelphia-eagleville
31,Meet Donna ,Computer,Urban Cosy,Welcomes Males Females Couples Families Students,Computer Laundry Patio Parking TV Internet Access Smoke alarm Carbon monoxide detector Air Conditioning,https://www.homestay.com//united-states/philadelphia/83779-homestay-in-bluebell-hill-philadelphia
32,Meet Ashley & Crystal,Parking,Urban Stylish,Welcomes Males Females Couples Families Students,Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/philadelphia/240735-homestay-in-west-philadelphia-philadelphia
33,Meet Randolph,Parking,NaN,Welcomes Males Females Couples Families Students,Parking TV Internet Access,https://www.homestay.com//united-states/philadelphia/17131-homestay-in-graysferry-section-philadelphia
34,Meet Paul,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Laundry Parking TV Internet Access Smoke alarm,https://www.homestay.com//united-states/havertown/87633-homestay-in-haverford-havertown
35,Meet Nicole,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/173493-homestay-in-germantown-philadelphia
36,Meet Harveen,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking TV Internet Access Smoke alarm Carbon monoxide detector,https://www.homestay.com//united-states/philadelphia/45567-homestay-in-northeast-philadelphia
37,Meet Paz,Response Rate80%,Cosmopolitan Arty,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/265948-homestay-in-university-city-philadelphia
38,Meet Elizabeth riley,Garden,NaN,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/philadelphia/266783-homestay-in-east-torresdale-philadelphia
