,visitor,Criteria,Homestay,Available_for,House_facilities,absolute_link
0,Meet Daisy,Garden,Cosmopolitan Relaxed.,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/coral-gables/190949-homestay-in-downtown-coral-gables-coral-gables
1,Meet Ana,Park,Suburban Stylish,Welcomes Males Females Couples Families Students,Park Shopping Centre Bus Stop Train station Hospital,https://www.homestay.com//united-states/miami/201253-homestay-in-south-miami-miami
2,Meet Gene,Response Rate100%,Suburban Period style,Welcomes Males Females Couples Families Students,Garden Bikes for use Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/south-miami/248034-homestay-in-south-miami-south-miami
3,Meet Veronica,Response Rate50%,Suburban Spacious,Welcomes Males Females Couples Families Students,Swimming Pool Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/miami-springs/263764-homestay-in-miami-springs-hialeah-doral-miami-springs
4,Meet Mylene,Patio,Suburban Cosy,Welcomes Males Females Couples Families Students,Patio Parking TV Internet Access Smoke alarm Air Conditioning,https://www.homestay.com//united-states/miami/217281-homestay-in-pinecrest-miami
5,Meet Manuel,Parking,Urban Modern,Welcomes Males Females Couples Families Students,Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/miami/193181-homestay-in-north-river-drive-miami
6,Meet Pascal ,Garden,Cosmopolitan Cosy,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/el-portal/255622-homestay-in-el-portal-el-portal
7,Meet Ale,Garden,Suburban Cosy,Welcomes Males Females Couples Families Students,Garden Swimming Pool Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/miami/167135-homestay-in-coral-way-miami
8,Meet Gloria,Response Rate100%,Urban Cosy,Welcomes Males Females Couples Families Students,Garden Laundry Parking Internet Access Air Conditioning,https://www.homestay.com//united-states/coral-gables/248744-homestay-in-305-coral-gables
9,Meet Carlos,Response Rate0%,Beachy Modern,Welcomes Males Females Couples Families Students,Laundry Internet Access Air Conditioning,https://www.homestay.com//united-states/miami/266773-homestay-in-little-havana-miami
10,Meet Gustavo,Garden,Urban Amazing views,Welcomes Males Females Couples Families Students,Garden Swimming Pool Laundry Parking Internet Access Wheelchair Accessible Air Conditioning,https://www.homestay.com//united-states/miami/253741-homestay-in-snapper-village-miami
